Time,AutWd,AutSat,AutSun,HsrWd,HsrSat,HsrSun,SmrWd,SmrSat,SmrSun,SprWd,SprSat,SprSun,WtrWd,WtrSat,WtrSun
0.020833333,0.28,0.31,0.35,0.29,0.31,0.33,0.27,0.31,0.32,0.29,0.33,0.33,0.33,0.39,0.41
0.041666667,0.24,0.27,0.3,0.25,0.27,0.29,0.23,0.26,0.28,0.25,0.29,0.3,0.28,0.32,0.34
0.0625,0.21,0.24,0.24,0.22,0.23,0.25,0.21,0.23,0.25,0.22,0.25,0.27,0.25,0.28,0.3
0.083333333,0.2,0.22,0.22,0.21,0.22,0.23,0.2,0.21,0.22,0.21,0.23,0.24,0.23,0.25,0.27
0.104166667,0.19,0.2,0.21,0.2,0.21,0.21,0.19,0.2,0.21,0.2,0.22,0.22,0.22,0.23,0.25
0.125,0.19,0.19,0.2,0.19,0.2,0.2,0.19,0.19,0.2,0.19,0.2,0.21,0.21,0.22,0.23
0.145833333,0.18,0.19,0.19,0.19,0.19,0.2,0.18,0.19,0.19,0.19,0.19,0.2,0.21,0.21,0.22
0.166666667,0.18,0.19,0.19,0.19,0.2,0.2,0.18,0.19,0.19,0.19,0.19,0.19,0.2,0.21,0.21
0.1875,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.19,0.19,0.19,0.19,0.19,0.2,0.21,0.21
0.208333333,0.19,0.19,0.18,0.19,0.2,0.19,0.18,0.19,0.19,0.19,0.2,0.19,0.21,0.21,0.21
0.229166667,0.19,0.19,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.2,0.2,0.22,0.22,0.21
0.25,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.21,0.2,0.2,0.24,0.23,0.22
0.270833333,0.26,0.23,0.2,0.24,0.22,0.21,0.25,0.22,0.2,0.27,0.23,0.21,0.31,0.27,0.24
0.291666667,0.34,0.27,0.22,0.3,0.26,0.24,0.32,0.27,0.23,0.35,0.28,0.24,0.39,0.32,0.27
0.3125,0.43,0.33,0.27,0.37,0.33,0.28,0.4,0.31,0.28,0.42,0.33,0.29,0.52,0.39,0.31
0.333333333,0.5,0.4,0.32,0.39,0.35,0.31,0.43,0.36,0.31,0.48,0.39,0.34,0.63,0.46,0.38
0.354166667,0.49,0.44,0.37,0.41,0.37,0.35,0.44,0.4,0.37,0.49,0.43,0.42,0.62,0.51,0.44
0.375,0.45,0.47,0.44,0.41,0.43,0.4,0.41,0.43,0.41,0.44,0.46,0.45,0.57,0.56,0.53
0.395833333,0.42,0.47,0.49,0.4,0.43,0.44,0.4,0.46,0.46,0.43,0.49,0.5,0.52,0.57,0.58
0.416666667,0.41,0.48,0.54,0.4,0.43,0.47,0.39,0.46,0.49,0.42,0.48,0.55,0.5,0.57,0.62
0.4375,0.41,0.48,0.55,0.39,0.43,0.5,0.38,0.46,0.52,0.41,0.49,0.55,0.49,0.57,0.68
0.458333333,0.39,0.47,0.55,0.39,0.42,0.52,0.37,0.44,0.54,0.39,0.48,0.59,0.48,0.57,0.7
0.479166667,0.38,0.45,0.56,0.37,0.41,0.53,0.37,0.43,0.56,0.38,0.47,0.61,0.47,0.56,0.73
0.5,0.39,0.47,0.59,0.38,0.42,0.56,0.37,0.45,0.58,0.38,0.5,0.66,0.47,0.56,0.74
0.520833333,0.41,0.49,0.63,0.4,0.44,0.58,0.39,0.47,0.61,0.42,0.52,0.67,0.49,0.59,0.77
0.541666667,0.4,0.49,0.64,0.39,0.42,0.57,0.38,0.45,0.61,0.41,0.5,0.65,0.49,0.59,0.77
0.5625,0.39,0.45,0.61,0.37,0.41,0.55,0.36,0.43,0.57,0.39,0.46,0.61,0.47,0.58,0.74
0.583333333,0.37,0.42,0.57,0.35,0.38,0.5,0.35,0.42,0.51,0.36,0.43,0.55,0.45,0.54,0.68
0.604166667,0.36,0.41,0.47,0.35,0.37,0.45,0.34,0.41,0.46,0.37,0.41,0.49,0.44,0.52,0.63
0.625,0.36,0.41,0.47,0.35,0.36,0.41,0.35,0.4,0.45,0.37,0.44,0.47,0.46,0.53,0.63
0.645833333,0.37,0.41,0.46,0.36,0.37,0.41,0.35,0.4,0.46,0.37,0.43,0.46,0.47,0.53,0.64
0.666666667,0.39,0.43,0.48,0.37,0.39,0.42,0.39,0.42,0.45,0.41,0.45,0.46,0.53,0.56,0.65
0.6875,0.46,0.46,0.48,0.42,0.4,0.42,0.44,0.42,0.46,0.46,0.5,0.49,0.64,0.63,0.72
0.708333333,0.55,0.52,0.51,0.5,0.46,0.46,0.52,0.47,0.48,0.54,0.54,0.5,0.78,0.73,0.79
0.729166667,0.61,0.58,0.54,0.53,0.48,0.49,0.56,0.52,0.49,0.6,0.58,0.55,0.89,0.83,0.86
0.75,0.61,0.57,0.6,0.52,0.48,0.5,0.55,0.53,0.51,0.59,0.61,0.58,0.92,0.89,0.9
0.770833333,0.65,0.61,0.62,0.51,0.48,0.5,0.54,0.5,0.51,0.58,0.61,0.57,0.92,0.89,0.92
0.791666667,0.68,0.68,0.66,0.5,0.47,0.48,0.52,0.51,0.51,0.57,0.57,0.56,0.91,0.9,0.9
0.8125,0.69,0.71,0.71,0.48,0.46,0.48,0.5,0.5,0.5,0.57,0.59,0.58,0.88,0.89,0.88
0.833333333,0.68,0.69,0.69,0.46,0.46,0.48,0.48,0.49,0.47,0.57,0.61,0.55,0.84,0.84,0.85
0.854166667,0.69,0.67,0.68,0.48,0.48,0.5,0.47,0.47,0.48,0.61,0.62,0.62,0.8,0.8,0.82
0.875,0.67,0.63,0.66,0.51,0.49,0.5,0.49,0.45,0.48,0.64,0.64,0.65,0.78,0.74,0.78
0.895833333,0.66,0.63,0.66,0.56,0.5,0.53,0.51,0.47,0.52,0.67,0.63,0.67,0.77,0.73,0.77
0.916666667,0.62,0.58,0.61,0.56,0.51,0.53,0.53,0.5,0.53,0.64,0.6,0.63,0.72,0.69,0.72
0.9375,0.58,0.55,0.58,0.54,0.49,0.52,0.55,0.51,0.54,0.61,0.57,0.59,0.67,0.64,0.67
0.958333333,0.51,0.52,0.51,0.48,0.47,0.49,0.49,0.49,0.5,0.53,0.53,0.54,0.59,0.59,0.6
0.979166667,0.42,0.46,0.42,0.41,0.42,0.41,0.41,0.43,0.41,0.45,0.47,0.44,0.49,0.52,0.5
0,0.34,0.4,0.34,0.35,0.37,0.35,0.34,0.37,0.34,0.36,0.39,0.36,0.41,0.46,0.42
